sl_lev_va,date,PRECIPITATION,MAX_TEMP,MIN_TEMP,MEAN_TEMP
44.94,1969-01-01,0.0,73.0,46.0,59.5
44.9,1969-01-02,0.0,58.0,33.0,45.5
44.92,1969-01-03,0.0,60.0,42.0,51.0
44.94,1969-01-04,0.82,58.0,48.0,53.0
44.85,1969-01-05,0.0,49.0,40.0,44.5
44.83,1969-01-06,0.0,63.0,39.0,51.0
44.81,1969-01-07,0.0,66.0,38.0,52.0
44.8,1969-01-08,0.0,69.0,38.0,53.5
44.8,1969-01-09,0.0,75.0,50.0,62.5
44.79,1969-01-10,0.15,71.0,49.0,60.0
44.75,1969-01-11,0.65,63.0,48.0,55.5
44.75,1969-01-12,0.03,60.0,40.0,50.0
44.7,1969-01-13,0.0,64.0,39.0,51.5
44.69,1969-01-14,0.0,64.0,39.0,51.5
44.66,1969-01-15,0.0,66.0,39.0,52.5
44.64,1969-01-16,0.0,71.0,43.0,57.0
44.67,1969-01-17,0.0,73.0,51.0,62.0
44.67,1969-01-18,0.0,76.0,56.0,66.0
44.67,1969-01-19,0.05,71.0,59.0,65.0
44.65,1969-01-20,0.0,73.0,63.0,68.0
44.61,1969-01-21,0.0,70.0,50.0,60.0
44.59,1969-01-22,0.0,73.0,50.0,61.5
44.59,1969-01-23,0.0,79.0,50.0,64.5
44.57,1969-01-24,0.0,79.0,51.0,65.0
44.57,1969-01-25,0.0,77.0,56.0,66.5
44.56,1969-01-26,0.0,69.0,41.0,55.0
44.55,1969-01-27,0.0,76.0,50.0,63.0
44.54,1969-01-28,0.0,75.0,53.0,64.0
44.53,1969-01-29,0.0,76.0,54.0,65.0
44.52,1969-01-30,0.0,77.0,55.0,66.0
44.51,1969-01-31,0.0,77.0,51.0,64.0
44.5,1969-02-01,0.0,79.0,53.0,66.0
44.49,1969-02-02,0.0,81.0,53.0,67.0
44.48,1969-02-03,0.01,79.0,62.0,70.5
44.47,1969-02-04,0.0,63.0,40.0,51.5
44.46,1969-02-05,0.0,67.0,35.0,51.0
44.45,1969-02-06,0.01,65.0,42.0,53.5
44.44,1969-02-07,0.0,80.0,58.0,69.0
44.43,1969-02-08,1.64,79.0,57.0,68.0
44.42,1969-02-09,0.0,66.0,53.0,59.5
44.41,1969-02-10,0.0,65.0,39.0,52.0
44.4,1969-02-11,0.0,66.0,41.0,53.5
44.39,1969-02-12,0.0,73.0,49.0,61.0
44.38,1969-02-13,0.0,71.0,42.0,56.5
