lev_dt,sl_lev_va,date
01/01/1969,44.94,1969-01-01
01/02/1969,44.9,1969-01-02
01/03/1969,44.92,1969-01-03
01/04/1969,44.94,1969-01-04
01/05/1969,44.85,1969-01-05
01/06/1969,44.83,1969-01-06
01/07/1969,44.81,1969-01-07
01/08/1969,44.8,1969-01-08
01/09/1969,44.8,1969-01-09
01/10/1969,44.79,1969-01-10
01/11/1969,44.75,1969-01-11
01/12/1969,44.75,1969-01-12
01/13/1969,44.7,1969-01-13
01/14/1969,44.69,1969-01-14
01/15/1969,44.66,1969-01-15
01/16/1969,44.64,1969-01-16
01/17/1969,44.67,1969-01-17
01/18/1969,44.67,1969-01-18
01/19/1969,44.67,1969-01-19
01/20/1969,44.65,1969-01-20
01/21/1969,44.61,1969-01-21
01/22/1969,44.59,1969-01-22
01/23/1969,44.59,1969-01-23
01/24/1969,44.57,1969-01-24
01/25/1969,44.57,1969-01-25
01/26/1969,44.56,1969-01-26
01/27/1969,44.55,1969-01-27
01/28/1969,44.54,1969-01-28
01/29/1969,44.53,1969-01-29
01/30/1969,44.52,1969-01-30
01/31/1969,44.51,1969-01-31
02/01/1969,44.5,1969-02-01
02/02/1969,44.49,1969-02-02
02/03/1969,44.48,1969-02-03
02/04/1969,44.47,1969-02-04
02/05/1969,44.46,1969-02-05
02/06/1969,44.45,1969-02-06
02/07/1969,44.44,1969-02-07
02/08/1969,44.43,1969-02-08
02/09/1969,44.42,1969-02-09
02/10/1969,44.41,1969-02-10
02/11/1969,44.4,1969-02-11
02/12/1969,44.39,1969-02-12
02/13/1969,44.38,1969-02-13
02/14/1969,44.37,1969-02-14
02/15/1969,44.36,1969-02-15
02/16/1969,44.36,1969-02-16
02/17/1969,44.28,1969-02-17
02/18/1969,44.27,1969-02-18
02/19/1969,44.26,1969-02-19
02/20/1969,44.26,1969-02-20
02/21/1969,44.27,1969-02-21
02/22/1969,44.29,1969-02-22
02/23/1969,44.3,1969-02-23
02/24/1969,44.28,1969-02-24
02/25/1969,44.27,1969-02-25
02/26/1969,44.28,1969-02-26
02/27/1969,44.27,1969-02-27
02/28/1969,44.27,1969-02-28
03/01/1969,44.28,1969-03-01
03/02/1969,44.28,1969-03-02
03/03/1969,44.32,1969-03-03
03/04/1969,44.27,1969-03-04
03/05/1969,44.24,1969-03-05
03/06/1969,44.38,1969-03-06
03/07/1969,44.26,1969-03-07
03/08/1969,44.31,1969-03-08
03/09/1969,44.31,1969-03-09
03/10/1969,44.23,1969-03-10
03/11/1969,44.22,1969-03-11
03/12/1969,44.23,1969-03-12
03/13/1969,44.23,1969-03-13
03/14/1969,44.21,1969-03-14
03/15/1969,44.23,1969-03-15
03/16/1969,44.28,1969-03-16
03/17/1969,44.32,1969-03-17
03/18/1969,44.37,1969-03-18
03/19/1969,44.38,1969-03-19
03/20/1969,44.34,1969-03-20
03/21/1969,44.37,1969-03-21
03/22/1969,44.39,1969-03-22
03/23/1969,44.45,1969-03-23
03/24/1969,44.48,1969-03-24
03/25/1969,44.5,1969-03-25
03/26/1969,44.51,1969-03-26
03/27/1969,44.53,1969-03-27
03/28/1969,44.54,1969-03-28
03/29/1969,44.56,1969-03-29
03/30/1969,44.56,1969-03-30
03/31/1969,44.58,1969-03-31
04/01/1969,44.6,1969-04-01
04/02/1969,44.64,1969-04-02
04/03/1969,44.64,1969-04-03
04/04/1969,44.65,1969-04-04
04/05/1969,44.67,1969-04-05
04/06/1969,44.69,1969-04-06
04/07/1969,44.68,1969-04-07
04/08/1969,44.66,1969-04-08
04/09/1969,44.67,1969-04-09
04/10/1969,44.71,1969-04-10
04/11/1969,44.72,1969-04-11
04/12/1969,44.71,1969-04-12
04/13/1969,44.71,1969-04-13
04/14/1969,44.72,1969-04-14
04/15/1969,44.7,1969-04-15
04/16/1969,44.71,1969-04-16
04/17/1969,44.73,1969-04-17
04/18/1969,44.74,1969-04-18
04/19/1969,44.78,1969-04-19
04/20/1969,44.73,1969-04-20
04/21/1969,44.7,1969-04-21
04/22/1969,44.73,1969-04-22
04/23/1969,44.73,1969-04-23
04/24/1969,44.71,1969-04-24
04/25/1969,44.68,1969-04-25
04/26/1969,44.65,1969-04-26
