,clean_text,retweets,favorites
0,Which boxer-engined BMW is right for you? We test them all back-to-back to find out -  ,0.0,0.0
1,BMW Vision Self Driving Car World Premiere  ,0.0,0.0
2,BMW iNext concept previews electric sedan flagship to come in  ,0.0,0.0
3,M3 Año Click » https:// 86 kms $ 00.000,1.0,0.0
4,BMW Base Sedan -Door BMW Base Sedan -Door L   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=162333628794&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
5,Sounding like a BMW advert is a fairly stock sound. Performing said track whilst on stilts is quirky though.,0.0,0.0
6,"BMW i3 gets a boost: new Ah version with bigger battery,... https://",0.0,0.0
7,BMW i3 to feature a bigger battery with a range of kilometres https://,0.0,0.0
8,THEY GAVE US A BMW !! || Casey Neistat ||:   via,0.0,0.0
9,BMW Series (528i) Start Up and Review L -Cylinder Turbo ⇒ https://,0.0,0.0
10,TEST BMW Z4 sDrive35is ⇒ https://,0.0,0.0
11,I liked a video   Audi Vs. Mercedes-Benz Vs. BMW - LED Technology,0.0,0.0
12,Messenger bag made from car seat belts and car seat ... bmw ...  ,0.0,0.0
13,Messenger bag made from car seat belts and car seat ... bmw … .,0.0,0.0
14,happy new year my happiness,0.0,0.0
15,Police: BMW Slams Into Oxnard Home At End Of Pursuit - CBS Local https://,0.0,0.0
16,Proud BMW and Porsche owner,0.0,2.0
17,Please RT? Munich Masterpieces: Highlights from the BMW Museum  ,1.0,1.0
18,Please RT? BMW R nineT Scrambler Launch  ,0.0,0.0
19,"Rory McIlroy To Use Callaway Woods and Irons, Odyssey Putter, Titleist Ball And Wedges At BMW South africa",0.0,0.0
20,"c230 and I crashed it lol. It was good to me, having to cop a BMW this week",0.0,1.0
21,Please RT? Munich Masterpieces: Highlights from the BMW Museum  ,0.0,0.0
22,No other way to live without love a German car. BMW do best!,0.0,0.0
23,X3 RIVE I Año Click » https:// 40 kms $ 80.000,1.0,0.0
24,"BMW i rive Sedan. Another really nice, well equipped -Series. k Miles, Heads Up Display, Blind Spot,...  ",0.0,0.0
25,"The price for BMW X5 is $8,995 now. Take a look: . s/3-6293823 …",0.0,0.0
26,I just checked in at BMW with Download today!  ,0.0,1.0
27,bmw vin decoder options  ,0.0,0.0
28,BMW S RR review   via,0.0,0.0
29,BMW Victorious in Chinese Trademark Matters  ,1.0,0.0
30,BMW Releases Videos on the History of the Series - Motor Trend -  ,0.0,0.0
31,BMW -Series for Sale in United States   -bmw-1-series-base-convertible-2-door-4-39271.html …,0.0,0.0
32,i Love it i did'nt know may BMW pala si cris ryt imee kya tagal nagrespond pinainit pa iLove u cris https:// tus/815333802918735872 …,0.0,3.0
33,Our BMW service center is reliable and ready to take on any issue with your BMW without a ha   hausofminis.com /,0.0,0.0
34,"Our BMW service center is reliable and ready to take on any issue with your BMW without a hassle. Cooling system,...  ",0.0,0.0
35,BMW Releases Videos on the History of the Series - Motor Trend  ,0.0,0.0
36,  BMW Releases Videos on the History of the Series  ,0.0,0.0
37,"BMW i3 = In Europe In November, Mitsubishi Outlander PHEV =   soco.space/GZP6Bv",0.0,0.0
38,Plate BTAF. White BMW . get her off the road. She'll kill someone tonight.,0.0,0.0
39,regrann from - Today on   Silodrome.com - BMW R1100 GS by moto_adonis Images:… .,0.0,0.0
40,New post on my blog: long island bmw  ,0.0,0.0
41,New post on my blog: livermore bmw  ,0.0,0.0
42,Thanks from spain!! <3,0.0,1.0
43,New post on my blog: bmw z3 reliability  ,0.0,0.0
44,New post on my blog: bmw x3 parts  ,0.0,0.0
45,New post on my blog: bmw transfer case  ,0.0,0.0
46,New post on my blog: bmw in florida  ,0.0,0.0
47,New post on my blog: bmw i3 dimensions  ,0.0,0.0
48,that's a BMW you clowns.,0.0,0.0
49,bringing the greatness out of me Starting my YouTube channel finish building my project Bmw Taking my girl across the world,0.0,1.0
50,Assetto Corsa - Nurburgring - BMW Z4 GT3 ⇒ https://,0.0,0.0
51,BMW X5 Review (2000) ⇒ https://,0.0,0.0
52,just got a bmw so grateful,6.0,18.0
53,"My wife and I have a BMW and a Mercedes ML350, both paid off. I don't know why you assume I'm poor. Happy New Year though.",0.0,0.0
54,Do you want BMW or a Yugo? RT Alabama or Washington?,0.0,0.0
55,Of course I'm watching the New Years episode of bmw just like I do every New Year's Eve,0.0,3.0
56,BMW -Series i rive MAKE OFFER – NAVIGATION – ALL WHEEL DRIVE – OWNER   ies-328i-rive-make-offer-navigation-all-wheel-drive-2-owner/ …,0.0,0.0
57,"I posted photos on Facebook in the album BMW F10 Gloss Carbon Details""   """,0.0,0.0
58,... (Thanks to Mike and his ) States .,0.0,0.0
