username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-31 23:55;0;0;"Volkswagen tiguan 2.0 tdi dsg sport 170 cv. #Murcia #tablondeanuncios http://www. tablondeanuncios.com/todoterrenos-v olkswagen-segunda-mano/volkswagen_tiguan_20_tdi_dsg_sport_170_cv-3477404.htm?utm_source=Twitter&utm_medium=Twitter&utm_campaign=rsscuidatucoche … pic.twitter.com/907v2MwUzf";;;#Murcia #tablondeanuncios;"815345678054522880";https://twitter.com/cuidatucoche/status/815345678054522880
;2016-12-31 23:54;0;1;"Muy feliz año nuevo familia Volkswagen . (Calidad que genera confianza ).";;;;"815345340907978752";https://twitter.com/eirun_riro/status/815345340907978752
;2016-12-31 23:53;0;0;"Everyone here at Onion Creek Volkswagen would like to wish you and your loved ones a Happy New Year. 2017 is... http:// fb.me/2K7CoL718";;;;"815345060770435072";https://twitter.com/barnett_auto/status/815345060770435072
;2016-12-31 23:47;0;0;"Please RT? #cars Jean Genie: Volkswagen Introduces Beetle Convertible Denim http:// tinyurl.com/zr5xqmp pic.twitter.com/XWHKOBaL54";;;#cars;"815343582366363648";https://twitter.com/MotorsMotion/status/815343582366363648
;2016-12-31 23:43;0;0;"Volkswagen Golf GTI TCR race car roars in ##VolkswagenGolf ... https:// goo.gl/fb/sCpPqy";;;# #VolkswagenGolf;"815342706046173184";https://twitter.com/tiffadunn/status/815342706046173184
;2016-12-31 23:39;0;0;"Alguien por #Pinamar con fotos de los #electricos de #Volkswagen ? https:// twitter.com/tnautos/status /813474097686597632 …";;;#Pinamar #electricos #Volkswagen;"815341731550007297";https://twitter.com/juanmorete/status/815341731550007297
;2016-12-31 23:38;0;0;"#turbocharger #intercooler #turbo #turbochargers #sequentialperformanceparts #holidaysale #sale #Volkswagen ... http:// fb.me/2XUNawbrR";;;#turbocharger #intercooler #turbo #turbochargers #sequentialperformanceparts #holidaysale #sale #Volkswagen;"815341321841942528";https://twitter.com/JerrixArceneaux/status/815341321841942528
;2016-12-31 23:36;0;0;"Just in! We have recently added a 2006 Volkswagen Passat to our inventory. Check it out : http:// tinyurl.com/h9ooh39";;;;"815340771045949441";https://twitter.com/CarsOnDemandTX/status/815340771045949441
;2016-12-31 23:32;0;0;"hemenn volkswagen Scirocco :)";;;;"815339921200254976";https://twitter.com/Zeyzykara/status/815339921200254976
;2016-12-31 23:31;0;0;"The Mighty Has Arrived For VW #Volkswagen http:// fzlnk.com/EeWO9luO pic.twitter.com/ZQDICU3NXv";;;#Volkswagen;"815339656044810240";https://twitter.com/ontariovw/status/815339656044810240
;2016-12-31 23:30;0;0;"#Veículos - Procurando #fox em #Natal e #Parnamirim #RN ? Confira as ofertas: … http://classifi cados-veiculos-novos-usados.oqtdb.com/fox-volkswagen -carro-novos-semi-novos-e-usados-vender … #carro #volkswagen";;;#Veículos #fox #Natal #Parnamirim #RN #carro #volkswagen;"815339259964129280";https://twitter.com/oqtdb/status/815339259964129280
;2016-12-31 23:27;0;0;"Volkswagen Polo 1.4-16V Comfortline € 4.750,00 http://www. autobedrijfvenema.frl http:// fb.me/7QBWxMQ8s";;;;"815338504519618562";https://twitter.com/AutoVenema/status/815338504519618562
